rep,seed,learner,r_d,r_d_oracle,inflation,coverage,estimate,se
0,1000,xgboost,0.16195948691710485,0.15491172624966268,0.007047760667442171,1,2.010111421275327,1.2977800525349716
0,1000,lasso,0.6583310647683654,0.15491172624966268,0.5034193385187028,1,4.367224402760924,0.5510700818212908
0,1000,lasso_logistic,0.22344229913721514,0.15491172624966268,0.06853057288755246,1,3.993141920681518,1.1317121755009598
1,1001,xgboost,0.1370767680021797,0.1373307941778316,-0.0002540261756519002,1,3.9129819715957512,0.1927883254373895
1,1001,lasso,0.6554939865533447,0.1373307941778316,0.5181631923755131,1,4.040129083542855,0.08800093995084424
1,1001,lasso_logistic,0.19337415523178364,0.1373307941778316,0.05604336105395205,0,4.865456172709273,0.21598095502675244
2,1002,xgboost,0.14896363704404597,0.1391082890305855,0.009855348013460469,1,4.118516493906295,0.27948608474645587
2,1002,lasso,0.652543351865221,0.1391082890305855,0.5134350628346356,1,3.751692768911164,0.17783195134357055
2,1002,lasso_logistic,0.1789495840534821,0.1391082890305855,0.0398412950228966,0,4.996381564043371,0.37516164997550117
3,1003,xgboost,0.1389758410148586,0.12407475876224693,0.014901082252611678,1,4.033389065854159,0.2540677617465649
3,1003,lasso,0.6605804442033183,0.12407475876224693,0.5365056854410714,1,3.9114439570181214,0.10861286399791267
3,1003,lasso_logistic,0.18780627121705898,0.12407475876224693,0.06373151245481205,0,5.364012245449525,0.26423554896313434
4,1004,xgboost,0.1491642068343164,0.1322034891412771,0.01696071769303928,0,2.7712103228851346,0.3218468173675854
4,1004,lasso,0.6533401525063501,0.1322034891412771,0.521136663365073,0,3.3627938101042045,0.12171115557526115
4,1004,lasso_logistic,0.1905710295010423,0.1322034891412771,0.058367540359765185,1,4.032278632450446,0.3436495730845751
5,1005,xgboost,0.15888012343145572,0.15015377993266574,0.008726343498789979,0,10.568427197696977,1.272071318496716
5,1005,lasso,0.6451570745752246,0.15015377993266574,0.4950032946425589,0,-2.268242992728576,1.3753062363422586
