overlap_strength,complexity,learner,framework,bias,rmse,mean_se,coverage,mean_r_d,mean_r_y,mean_r_y0,mean_r_y1,mean_outcome_rmse
0.0,linear,lasso_logistic,IRM,0.0155,0.0776,0.1604,1.0,1.0307,0.6858,0.6858,0.6775,
0.0,linear,rf,IRM,0.0019,0.1237,0.1431,0.98,1.0092,0.7366,0.7366,0.713,
0.0,linear,ridge,IRM,0.006,0.0735,0.0744,0.95,1.033,0.9269,0.9269,0.9229,
0.0,linear,xgboost,IRM,0.0147,0.0951,0.1204,0.99,1.0377,0.8434,0.8434,0.8239,
0.0,nonlinear,lasso_logistic,IRM,0.0094,0.101,0.2153,0.98,1.0317,0.5955,0.5955,0.1121,
0.0,nonlinear,rf,IRM,0.007,0.1032,0.2054,0.99,1.0088,0.6753,0.6753,0.0963,
0.0,nonlinear,ridge,IRM,0.0099,0.1064,0.1998,0.98,1.0314,0.7767,0.7767,0.1203,
0.0,nonlinear,xgboost,IRM,0.0143,0.1008,0.2025,0.99,1.0388,0.7707,0.7707,0.0787,
2.0,linear,lasso_logistic,IRM,0.0153,0.7934,0.7612,0.98,0.4721,0.6784,0.6784,0.706,
2.0,linear,rf,IRM,-0.1686,0.3921,0.1744,0.7,0.4597,0.7232,0.7232,0.7206,
2.0,linear,ridge,IRM,-0.0498,0.2549,0.3784,0.99,0.472,0.9192,0.9192,0.9255,
2.0,linear,xgboost,IRM,-0.0117,0.2446,0.2578,0.98,0.4188,0.8319,0.8319,0.8285,
2.0,nonlinear,lasso_logistic,IRM,-0.023,0.4152,0.4338,0.96,0.4718,0.5965,0.5965,0.1198,
2.0,nonlinear,rf,IRM,-0.153,0.3525,0.2021,0.89,0.4598,0.6703,0.6703,0.0961,
2.0,nonlinear,ridge,IRM,0.08,0.4129,0.4278,0.98,0.4718,0.7809,0.7809,0.1232,
2.0,nonlinear,xgboost,IRM,-0.0901,0.2362,0.2654,0.98,0.4192,0.7679,0.7679,0.074,
5.0,linear,lasso_logistic,IRM,-0.1584,0.4892,0.2557,0.58,0.1936,0.6749,0.6749,0.715,
5.0,linear,rf,IRM,-0.4677,0.8485,0.1525,0.3,0.2172,0.7255,0.7255,0.7185,
5.0,linear,ridge,IRM,-0.0281,0.2491,0.1397,0.62,0.194,0.9199,0.9199,0.9233,
5.0,linear,xgboost,IRM,-0.3213,0.6431,0.3176,0.68,0.1477,0.8325,0.8325,0.829,
5.0,nonlinear,lasso_logistic,IRM,-0.128,0.4948,0.2448,0.85,0.1939,0.5922,0.5922,0.1122,
5.0,nonlinear,rf,IRM,-0.2398,0.4944,0.1891,0.69,0.2175,0.6699,0.6699,0.0918,
5.0,nonlinear,ridge,IRM,0.0357,0.4501,0.2523,0.85,0.1946,0.7811,0.7811,0.1182,
5.0,nonlinear,xgboost,IRM,-0.1786,0.4604,0.3206,0.9,0.1488,0.769,0.769,0.0691,
