overlap_strength,complexity,learner,bias,rmse,mean_se,coverage,mean_r_d
0.0,linear,lasso,0.0004,0.1496,0.1475,0.94,1.0046
0.0,linear,xgboost,-0.0335,0.1013,0.1029,0.935,1.0416
0.0,nonlinear,lasso,-0.0122,0.1735,0.2252,0.985,1.0048
0.0,nonlinear,xgboost,-0.0438,0.1736,0.2165,0.965,1.043
0.5,linear,lasso,-0.105,0.2333,0.1539,0.86,0.9424
0.5,linear,xgboost,-0.0341,0.1037,0.1092,0.965,0.9278
0.5,nonlinear,lasso,0.0215,0.3676,0.23,0.94,0.9425
0.5,nonlinear,xgboost,-0.0297,0.2451,0.2351,0.97,0.9275
1.0,linear,lasso,-0.2346,0.3833,0.1639,0.595,0.842
1.0,linear,xgboost,-0.0272,0.1171,0.125,0.97,0.719
1.0,nonlinear,lasso,-0.0681,0.5749,0.2457,0.75,0.8422
1.0,nonlinear,xgboost,-0.119,0.4564,0.2737,0.91,0.7191
1.5,linear,lasso,-0.3384,0.5211,0.1723,0.485,0.771
1.5,linear,xgboost,-0.0305,0.1305,0.1451,0.97,0.5481
1.5,nonlinear,lasso,-0.1523,0.8605,0.2597,0.56,0.7714
1.5,nonlinear,xgboost,-0.1833,0.7121,0.3179,0.785,0.5478
2.0,linear,lasso,-0.43,0.6354,0.1789,0.39,0.7267
2.0,linear,xgboost,-0.0346,0.161,0.1667,0.945,0.4218
2.0,nonlinear,lasso,-0.2097,1.127,0.2704,0.46,0.7266
2.0,nonlinear,xgboost,-0.2739,0.9017,0.3657,0.74,0.4205
3.0,linear,lasso,-0.543,0.772,0.1856,0.35,0.6818
3.0,linear,xgboost,-0.0557,0.1997,0.2102,0.945,0.2669
3.0,nonlinear,lasso,-0.2927,1.3677,0.2805,0.41,0.6821
3.0,nonlinear,xgboost,-0.2521,1.0337,0.461,0.725,0.267
5.0,linear,lasso,-0.6381,0.879,0.1887,0.27,0.6576
5.0,linear,xgboost,-0.1117,0.2887,0.2799,0.94,0.1502
5.0,nonlinear,lasso,-0.3758,1.5949,0.286,0.335,0.6578
5.0,nonlinear,xgboost,-0.3096,1.2947,0.5974,0.735,0.1507
